Id,age,sex,social_class,primary_business,secondary_business,annual_income,monthly_expenses,old_dependents,young_dependents,home_ownership,occupants_count,house_area,sanitary_availability,water_availabity,loan_purpose,loan_tenure,loan_installments,loan_amount
44,41,F,Muslim,Tailoring,Others,50400,4200,0,2,1,3,60,1,0.5,Apparels,12,50,7500
45,39,F,Muslim,Buffalo rearing,none,95000,5000,0,3,1,6,40,1,0.5,Animal husbandry,12,50,7500
46,40,F,OBC,Tailoring,Others,42000,5600,0,2,1,5,50,1,0.5,Apparels,12,50,7500
47,42,F,OBC,Vegetable cultivation,none,95000,4300,0,1,1,4,40,1,0.5,Farming/ Agriculture,12,50,7500
48,47,F,OBC,Tailoring,Others,78000,3500,0,0,1,3,50,1,0.5,Apparels,12,50,7500
49,24,F,OBC,Wet grinding,none,95000,4000,0,2,1,5,50,1,0.5,Business Services - II,12,50,7500
50,42,F,OBC,Vegetable cultivation,none,95000,4700,0,2,1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
51,35,F,Muslim,Cow Rearing,Others,100800,5000,0,2,1,4,1200,1,0.5,Animal husbandry,12,50,7500
52,39,F,SC,Banana Cultivation,Others,114000,5200,0,2,1,5,10,1,0.5,Farming/ Agriculture,12,50,7500
53,33,F,OBC,Tailoring,Others,42000,5600,0,3,1,5,10,1,0.5,Apparels,12,50,7500
54,39,F,SC,Petty shop,Others,93600,4000,0,2,1,4,80,1,0.5,Retail Store,12,50,7500
55,41,F,Ezhava,Banana Cultivation,Others,36000,3500,0,0,1,2,60,1,0.5,Farming/ Agriculture,12,50,7500
56,35,F,OBC,Tailoring,Others,0,3200,0,1,1,2,50,1,0.5,Apparels,12,50,7500
57,42,F,SC,Rice business,Others,165600,4000,0,0,1,4,70,1,0.5,Agro Based Businesses,12,50,7500
58,53,F,OBC,Milk business,Daily wage labourer,36000,3000,0,0,1,1,112,1,0.5,Animal husbandry,12,12,5000
59,22,F,OBC,Grocery store,Others,90000,4000,1,0,1,3,100,1,0.5,Agro Based Businesses,12,50,7500
60,21,F,OBC,Tailoring,Others,93600,4200,0,0,1,4,100,1,0.5,Apparels,12,50,7500
61,28,F,OBC,Tiffin center,none,48000,4000,0,3,1,1,112,1,0.5,Eateries,12,12,5000
62,30,F,OBC,Vegetable vendor,none,95000,5000,0,3,1,5,40,1,0.5,Agro Based Businesses,12,50,7500
63,48,F,OBC,Betel shop,Daily wage labourer,36000,3000,0,0,1,1,110,1,0.5,Tobacco Related Activities,12,12,5000
64,47,F,Muslim,Cow Rearing,Others,0,3300,0,0,1,2,50,1,0.5,Animal husbandry,12,50,7500
65,30,F,SC,General store,Daily wage labourer,42000,3500,0,1,1,1,112,1,0.5,Retail Store,12,12,5000
66,25,F,OBC,Banana Cultivation,Others,42000,2500,1,1,1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
67,51,F,ST,Poultry farm,Daily wage labourer,36000,3000,0,0,1,1,110,1,0.5,Meat Businesses,12,12,5000
68,23,F,SC,Tailoring,Others,93600,3500,0,0,1,2,70,1,0.5,Apparels,12,50,7500
69,21,F,ST,Vegetable cultivation,Daily wage labourer,36000,3000,0,0,1,1,112,1,0.5,Farming/ Agriculture,12,12,5000
70,30,F,OBC,Tailoring,Daily wage labourer,36000,3000,0,2,1,1,110,1,0.5,Apparels,12,12,5000
71,21,F,OBC,Vegetable cultivation,Agriculture,48000,4000,0,1,1,1,112,1,0.5,Farming/ Agriculture,12,12,5000
72,46,F,OBC,Poultry farm,Agriculture,36000,3000,0,0,1,1,110,1,0.5,Meat Businesses,12,12,5000
73,35,F,OBC,Cycle repair shop,Daily wage labourer,36000,3000,0,1,1,1,112,1,0.5,Repair Services,12,12,5000
74,40,F,ST,Vegetable vendor,Agriculture,40000,4000,0,4,1,1,114,1,0.5,Agro Based Businesses,12,12,5000
75,45,F,OBC,Tailoring,Agriculture,48000,4000,0,0,1,1,110,1,0.5,Apparels,12,12,5000
76,38,F,OBC,Poultry farm,Daily wage labourer,36000,3000,0,2,1,1,1101,1,0.5,Meat Businesses,12,12,5000
77,33,F,ST,Poultry farm,Daily wage labourer,36000,3000,0,2,1,1,110,1,0.5,Meat Businesses,12,12,5000
78,21,F,ST,Vegetable vendor,Daily wage labourer,36000,3000,0,1,1,1,110,1,0.5,Agro Based Businesses,12,12,5000
79,44,F,OBC,Vegetable cultivation,Daily wage labourer,3000,3000,0,0,1,1,112,1,0.5,Farming/ Agriculture,12,12,5000
80,44,F,ST,Vegetable cultivation,Daily wage labourer,45000,4000,0,0,1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
81,23,F,OBC,General store,none,60000,5000,0,0,1,1,114,1,0.5,Retail Store,12,12,5000
82,37,F,OBC,Goat rearing,Agriculture,36000,3000,0,0,1,1,110,1,0.5,Meat Businesses,12,12,5000
83,26,F,ST,Vegetable cultivation,Daily wage labourer,36000,3000,0,2,1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
84,29,F,OBC,Tiffin center,Daily wage labourer,36000,3000,0,1,1,1,110,1,0.5,Eateries,12,12,5000
85,23,F,SC,Banana Cultivation,Others,48000,3500,0,0,1,2,50,1,0.5,Farming/ Agriculture,12,50,7500
86,28,F,SC,Banana Cultivation,Others,48000,3500,0,1,1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
87,34,F,SC,Banana Cultivation,Others,78000,5000,0,3,1,5,50,1,0.5,Farming/ Agriculture,12,50,7500
88,36,F,OBC,Vegetable cultivation,Others,93600,4000,0,3,1,5,120,1,0.5,Farming/ Agriculture,12,50,7500
89,38,F,Christian,Banana Cultivation,none,100000,5000,0,3,1,5,40,1,0.5,Farming/ Agriculture,12,50,7500
90,34,F,SC,Banana Cultivation,Others,48000,4000,0,3,1,5,40,1,0.5,Farming/ Agriculture,12,50,7500
91,23,F,OBC,Vegetable cultivation,Daily wage labourer,36000,3000,0,0,1,1,112,1,0.5,Farming/ Agriculture,12,12,5000
92,23,F,OBC,Banana Cultivation,none,75000,3000,0,0,1,4,40,1,0.5,Farming/ Agriculture,12,50,7500
93,42,F,Christian,Banana Cultivation,Others,96000,3000,0,0,1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
94,45,F,OBC,Rice business,Agriculture,36000,3000,0,0,1,1,110,1,0.5,Agro Based Businesses,12,12,5000
95,19,F,OBC,Banana Cultivation,Others,96000,3500,0,1,1,5,50,1,0.5,Farming/ Agriculture,12,50,7500
96,54,F,ST,Vegetable cultivation,Daily wage labourer,36000,3000,0,1,1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
97,37,F,SC,Banana Cultivation,Others,36000,3500,0,2,1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
98,40,F,OBC,Banana Cultivation,none,60000,3000,0,0,1,3,80,1,0.5,Farming/ Agriculture,12,50,7500
99,45,F,OBC,Tailoring,none,95000,5000,0,0,1,4,40,1,0.5,Apparels,12,50,7500
100,46,F,SC,Banana Cultivation,none,72000,2500,0,0,1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
101,19,F,OBC,Tailoring,none,95000,4000,0,1,1,3,40,1,0.5,Apparels,12,50,7500
102,27,F,OBC,Banana Cultivation,none,36000,4000,0,2,1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
103,24,F,Muslim,Tailoring,none,95000,4000,0,2,1,4,40,1,0.5,Apparels,12,50,7500
104,38,F,SC,Banana Cultivation,none,48000,3500,0,3,1,5,50,1,0.5,Farming/ Agriculture,12,50,7500
105,20,F,SC,Tailoring,none,95000,3100,0,0,1,2,40,1,0.5,Apparels,12,50,7500
106,27,F,OBC,Banana Cultivation,none,48000,4500,0,2,1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
107,25,F,OBC,Banana Cultivation,none,72000,3000,0,1,1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
108,19,F,Muslim,Tailoring,none,66000,4400,0,1,1,4,40,1,0.5,Apparels,12,50,7500
109,44,F,SC,Vegetable vendor,Daily wage labourer,36000,3000,0,3,1,1,112,1,0.5,Agro Based Businesses,12,12,5000
110,48,F,SC,Rice business,Daily wage labourer,60000,4500,0,1,1,2,112,1,0.5,Agro Based Businesses,12,12,5000
111,46,F,OBC,General store,none,36000,3000,0,0,1,1,110,1,0.5,Retail Store,12,12,5000
112,33,F,OBC,Bakery,none,36000,3000,0,0,1,1,110,1,0.5,Eateries,12,12,5000
113,44,F,OBC,Tiffin center,none,36000,3000,0,0,1,1,110,1,0.5,Eateries,12,12,5000
114,29,F,ST,Poultry farm,Daily wage labourer,36000,3000,0,2,1,1,110,1,0.5,Meat Businesses,12,12,5000
115,24,F,ST,Vegetable cultivation,none,40000,3200,0,0,1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
116,50,F,SC,Rice business,Daily wage labourer,36000,3000,0,0,1,1,110,1,0.5,Agro Based Businesses,12,12,5000
117,53,F,ST,Goat rearing,Livestock rearing,40000,3200,0,0,1,1,110,1,0.5,Meat Businesses,12,12,5000
118,22,F,ST,General store,Daily wage labourer,30000,2500,0,0,1,1,110,1,0.5,Retail Store,12,12,5000
119,28,F,OBC,Poultry farm,Daily wage labourer,36000,3000,0,1,1,1,110,1,0.5,Meat Businesses,12,12,5000
120,21,F,ST,Rice business,Daily wage labourer,30000,2500,0,1,1,1,110,1,0.5,Agro Based Businesses,12,12,5000
121,38,F,OBC,Banana Cultivation,none,48000,4000,0,3,1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
122,45,F,OBC,Banana Cultivation,none,96000,3000,0,0,1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
123,41,F,OBC,General store,none,60000,5000,0,0,1,2,110,1,0.5,Retail Store,12,12,5000
124,28,F,ST,Goat rearing,Livestock rearing,60000,3000,0,3,1,1,110,1,0.5,Meat Businesses,12,12,5000
125,57,F,OBC,Banana Cultivation,none,84000,3000,0,0,1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
126,34,F,OBC,Poultry farm,Livestock rearing,48000,4000,0,2,1,1,110,1,0.5,Meat Businesses,12,12,5000
127,32,F,OBC,Banana Cultivation,none,36000,2500,0,1,1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
128,40,F,OBC,Banana Cultivation,none,48000,4000,0,3,1,5,50,1,0.5,Farming/ Agriculture,12,50,7500
129,36,F,OBC,Gram cultivation,none,36000,3000,0,2,1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
130,55,F,Christian,Banana Cultivation,none,48000,3500,0,0,1,2,50,1,0.5,Farming/ Agriculture,12,50,7500
131,26,F,OBC,Vegetable cultivation,Daily wage labourer,60000,5000,0,5,1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
132,21,F,ST,Gram cultivation,Agriculture,30000,2500,0,0,1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
133,30,F,OBC,Banana Cultivation,none,60000,3000,0,1,1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
134,26,F,OBC,Poultry farm,Livestock rearing,36000,3000,0,1,1,1,110,1,0.5,Meat Businesses,12,12,5000
135,49,F,OBC,Banana Cultivation,none,84000,3500,0,0,1,4,40,1,0.5,Farming/ Agriculture,12,50,7500
136,41,F,OBC,Banana Cultivation,none,0,3000,0,1,1,2,50,1,0.5,Farming/ Agriculture,12,50,7500
137,57,F,OBC,Banana Cultivation,none,60000,5000,0,0,1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
138,36,F,SC,Betel shop,none,24000,2000,0,0,1,1,1400,1,0.5,Tobacco Related Activities,12,12,5000
139,27,F,OBC,Milk business,none,36000,3000,0,1,1,1,1200,1,0.5,Animal husbandry,12,12,5000
140,33,F,OBC,Milk business,none,24000,2000,0,1,1,1,1200,1,0.5,Animal husbandry,12,12,5000
141,44,F,OBC,Milk business,none,24000,2000,0,0,1,1,1000,1,0.5,Animal husbandry,12,12,5000
142,43,F,OBC,Milk business,none,24000,2000,0,0,1,1,920,1,0.5,Animal husbandry,12,12,5000
143,35,F,OBC,Milk business,none,24000,2000,0,1,1,1,1000,1,0.5,Animal husbandry,12,12,5000
144,45,F,OBC,Milk business,none,24000,2000,0,0,1,1,1200,1,0.5,Animal husbandry,12,12,5000
145,40,F,OBC,Milk business,none,24000,2000,0,0,1,1,1000,1,0.5,Animal husbandry,12,12,5000
146,36,F,OBC,Milk business,none,25000,2200,0,2,1,1,3400,1,0.5,Animal husbandry,12,12,5000
147,37,F,OBC,Milk business,none,36000,3600,0,0,1,1,1000,1,0.5,Animal husbandry,12,12,5000
148,30,M,OBC,Betel shop,none,30000,2000,0,0,1,1,1400,1,0.5,Tobacco Related Activities,12,12,5000
149,31,M,OBC,Betel shop,none,30000,3000,1,0,1,1,1000,1,0.5,Tobacco Related Activities,12,12,5000
150,40,M,OBC,Sweets shop,none,24000,2400,1,1,1,1,1000,1,0.5,Eateries,12,12,5000
151,42,M,OBC,Tiffin center,none,25000,2500,1,1,1,1,1400,1,0.5,Eateries,12,12,5000
152,47,F,Baniya,Vegetable vendor,none,36000,5000,0,1,0,6,50,1,0.5,Agro Based Businesses,12,12,5000
153,34,M,SC,Betel shop,none,25000,2000,0,1,1,1,1000,1,0.5,Tobacco Related Activities,12,12,5000
154,36,F,Modi,Tailoring,none,36000,3000,0,5,1,6,50,1,0.5,Apparels,12,12,5000
155,47,F,Toli,Readymade Garments,none,60000,5000,0,2,1,5,60,1,0.5,Apparels,12,12,5000
156,52,F,Kewat,Fancy Store,none,30000,4500,1,1,1,5,50,1,0.5,Retail Store,12,12,5000
157,22,F,Kusbaha,Tailoring,none,36000,3000,0,2,1,4,40,1,0.5,Apparels,12,12,5000
158,26,F,Toli,Tailoring,none,48000,5000,0,3,1,5,50,1,0.5,Apparels,12,12,5000
159,40,F,Noli,Beauty salon,none,48000,4000,0,2,1,4,40,1,0.5,Beauty Salon,12,12,5000
160,28,F,OBC,Vegetable vendor,none,0,1500,0,1,1,3,40,1,0.5,Agro Based Businesses,12,12,5000
161,38,F,SC,Laundry,none,0,3000,0,4,1,6,300,1,0.5,Laundry Services,12,12,5000
162,40,F,Muslim,Vegetable vendor,none,0,4000,0,3,1,6,1000,1,0.5,Agro Based Businesses,12,12,7500
163,36,F,Muslim,Provision store,none,0,3000,0,2,1,4,600,1,0.5,Retail Store,12,12,7500
164,26,F,Muslim,Vegetable vendor,none,0,3000,0,3,1,5,200,1,0.5,Agro Based Businesses,12,12,7500
165,35,F,Muslim,Tailoring,none,0,2500,0,3,1,5,400,1,0.5,Apparels,12,12,7500
166,36,F,Muslim,Snacks business,none,0,3000,0,4,1,6,400,1,0.5,Food Items,12,12,7500
167,20,F,OBC,Provision store,none,0,2200,0,0,1,4,300,1,0.5,Retail Store,12,12,5000
168,27,F,OBC,Beauty parlour,none,0,2200,0,2,1,4,600,1,0.5,Beauty Salon,12,12,5000
169,38,F,OBC,Tailoring,none,0,2700,0,1,1,4,400,1,0.5,Apparels,12,12,5000
170,35,F,OBC,Tiffin center,none,0,2500,0,2,1,4,3000,1,0.5,Eateries,12,12,5000
171,25,F,General,Beedi rolling business,none,36000,2900,0,1,1,2,2000,1,0.5,Tobacco Related Activities,12,50,5000
172,50,F,OBC,Tailoring,none,0,2200,0,0,1,3,600,1,0.5,Apparels,12,12,5000
173,23,F,OBC,Milk business,none,0,1500,0,1,1,3,500,1,0.5,Animal husbandry,12,12,5000
174,40,F,OBC,Tailoring,none,0,1700,0,1,1,3,400,1,0.5,Apparels,12,12,5000
175,40,F,OBC,Tailoring,none,0,3500,0,1,1,5,600,1,0.5,Apparels,12,12,5000
176,25,F,OBC,Beauty parlour,none,0,2000,0,1,1,3,200,1,0.5,Beauty Salon,12,12,5000
177,40,F,OBC,Tailoring,none,0,2700,0,1,1,4,600,1,0.5,Apparels,12,12,5000
178,42,F,OBC,Tiffin center,none,0,1500,0,0,1,2,600,1,0.5,Eateries,12,12,5000
179,35,F,OBC,Tailoring,none,0,2500,0,2,1,4,400,1,0.5,Apparels,12,12,5000
180,42,F,OBC,Tiffin center,none,0,3500,0,0,1,5,900,1,0.5,Eateries,12,12,5000
181,40,F,Muslim,Eggs selling,none,0,2200,0,2,1,4,400,1,0.5,Meat Businesses,12,12,5000
182,45,F,OBC,Provision store,none,0,4000,0,0,1,5,600,1,0.5,Retail Store,12,12,5000
183,35,F,OBC,Eggs selling,none,0,3200,0,3,1,5,600,1,0.5,Meat Businesses,12,12,5000
184,24,F,OBC,Tailoring,none,0,2700,0,2,1,4,300,1,0.5,Apparels,12,12,5000
185,40,F,OBC,Snacks business,none,0,2000,0,1,1,3,600,1,0.5,Food Items,12,12,5000
186,32,F,SC,Tiffin center,none,0,3000,0,3,1,5,800,1,0.5,Eateries,12,12,5000
187,42,F,OBC,Tailoring,none,0,3500,0,1,1,6,400,1,0.5,Apparels,12,12,5000
188,23,F,OBC,Medical shop,none,0,2000,0,0,1,2,50,1,0.5,Retail Store,12,12,5000
189,40,F,OBC,Tailoring,none,0,2800,0,1,1,4,400,1,0.5,Apparels,12,12,5000
190,45,F,General,Beedi rolling business,none,36000,2800,0,0,1,2,300,1,0.5,Tobacco Related Activities,12,50,5000
191,45,F,General,Embroidery work,none,30000,2500,0,0,1,2,200,1,0.5,Handicrafts,12,50,5000
192,29,F,General,Embroidery work,none,30000,2900,0,2,1,2,300,1,0.5,Handicrafts,12,50,5000
193,28,F,OBC,Provision store,none,0,2000,0,1,1,3,600,1,0.5,Retail Store,12,12,5000
194,43,F,General,Embroidery work,none,42000,3000,0,3,1,2,350,1,0.5,Handicrafts,12,50,5000
195,45,F,General,Embroidery work,none,42000,3000,0,2,1,2,250,1,0.5,Handicrafts,12,50,5000
196,45,F,General,Embroidery work,none,36000,2800,0,1,1,2,300,1,0.5,Handicrafts,12,50,5000
197,20,F,General,Embroidery work,none,42000,2400,0,1,1,2,1500,1,0.5,Handicrafts,12,50,5000
198,45,F,OBC,General store,none,0,4000,0,0,1,2,400,1,0.5,Retail Store,12,12,5000
199,43,F,OBC,General store,none,0,3200,0,2,1,4,500,1,0.5,Retail Store,12,12,5000
200,23,F,General,General store,none,36000,2900,0,1,1,2,300,1,0.5,Retail Store,12,50,5000
201,33,F,OBC,Tailoring,none,0,3100,0,2,1,4,250,1,0.5,Apparels,12,12,5000
202,26,F,OBC,Cow Rearing,none,0,2400,0,2,1,4,400,1,0.5,Animal husbandry,12,12,5000
203,43,F,OBC,Tailoring,none,22000,2400,0,2,1,4,250,1,0.5,Apparels,12,12,5000
204,30,F,OBC,Buffalo rearing,none,0,4500,0,2,1,4,600,1,0.5,Animal husbandry,12,12,5000
205,24,F,Shiv Nagar Goli,Tailoring,none,19000,2500,0,2,1,4,450,1,0.5,Apparels,12,12,5000
206,30,F,OBC,Buffalo rearing,none,0,2800,0,2,1,4,400,1,0.5,Animal husbandry,12,12,5000
207,31,F,OBC,General store,none,0,3500,0,2,1,4,50,1,0.5,Retail Store,12,12,5000
208,37,F,OBC,General store,none,0,4000,0,2,1,5,600,1,0.5,Retail Store,12,12,5000
209,41,F,Janral,Helmets selling,none,0,3400,0,4,1,6,500,1,0.5,Business Services - I,12,12,5000
210,35,F,Janral,Auto Rickshaw,none,0,4500,0,2,1,4,600,1,0.5,Transportation Services,12,12,5000
211,40,F,OBC,General store,Others,21000,4000,0,2,1,5,600,1,0.5,Retail Store,12,12,5000
212,50,F,General,Fish vendor,none,5000,3700,0,1,1,4,300,1,0.5,Meat Businesses,12,50,5000
213,40,F,Hindu,Buffalo rearing,Agriculture,50000,4000,0,6,1,8,25,1,0.5,Animal husbandry,12,12,5000
214,50,F,Hindu,Goat rearing,Daily wage labourer,30,3000,0,3,1,6,25,1,0.5,Meat Businesses,12,12,5000
215,45,F,General,General store,none,42000,3400,0,1,1,2,300,1,0.5,Retail Store,12,50,5000
216,26,F,General,Embroidery work,none,42000,3400,0,2,1,2,200,1,0.5,Handicrafts,12,50,5000
217,23,F,General,Artificial Flower Making,none,36000,2900,0,1,1,2,200,1,0.5,Flower Business,12,50,5000
218,26,F,General,Embroidery work,none,48000,3900,0,2,1,2,200,1,0.5,Handicrafts,12,50,5000
219,23,F,General,Tailoring,none,38400,3200,0,2,1,2,300,1,0.5,Apparels,12,50,8000
220,47,F,Hindu,Paddy cultivation,none,50000,80000,0,1,1,5,30,1,0.5,Farming/ Agriculture,12,12,5000
221,43,F,Hindu,Buffalo rearing,none,50000,90000,0,3,1,5,25,1,0.5,Animal husbandry,12,12,5000
222,30,F,Hindu,Vegetable cultivation,Daily wage labourer,50000,80000,0,5,1,7,30,1,0.5,Farming/ Agriculture,12,12,5000
223,53,F,Hindu,Buffalo rearing,none,30000,20000,0,0,1,2,25,1,0.5,Animal husbandry,12,12,5000
224,51,F,Hindu,Buffalo rearing,none,30000,50000,0,0,1,4,30,1,0.5,Animal husbandry,12,12,5000
225,54,F,Hindu,Buffalo rearing,Agriculture,34000,34000,0,0,1,3,25,1,0.5,Animal husbandry,12,12,5000
226,50,F,Hindu,Buffalo rearing,Agriculture,40000,90000,0,3,1,5,30,1,0.5,Animal husbandry,12,12,5000
227,28,F,Hindu,Buffalo rearing,Agriculture,40000,80000,0,3,1,5,25,1,0.5,Animal husbandry,12,12,5000
228,43,F,OBC,Vegetable cultivation,Daily wage labourer,25000,30000,0,1,1,3,25,1,0.5,Farming/ Agriculture,12,12,5000
229,28,F,Hindu,Tailoring,none,20000,12000,0,2,1,4,20,1,0.5,Apparels,12,12,5000
230,42,F,Hindu,Buffalo rearing,Daily wage labourer,30000,30000,0,2,1,4,25,1,0.5,Animal husbandry,12,12,5000
231,36,F,Hindu,Grocery store,none,25000,25000,0,2,1,4,25,1,0.5,Agro Based Businesses,12,12,5000
232,33,F,Hindu,Buffalo rearing,Agriculture,20000,30000,0,2,1,4,25,1,0.5,Animal husbandry,12,12,5000
233,45,F,Hindu,Paddy cultivation,Livestock rearing,20000,35000,0,4,1,7,24,1,0.5,Farming/ Agriculture,12,12,5000
234,45,F,Hindu,Buffalo rearing,Daily wage labourer,20000,35000,0,1,1,4,25,1,0.5,Animal husbandry,12,12,5000
235,26,F,General,Embroidery work,none,39600,3300,0,2,1,2,300,1,0.5,Handicrafts,12,50,8000
236,30,F,General,Embroidery work,none,36000,2900,0,2,1,2,200,1,0.5,Handicrafts,12,50,8000
237,28,F,General,Embroidery work,none,43200,3500,0,3,1,2,200,1,0.5,Handicrafts,12,50,8000
238,31,F,OBC,General store,Daily wage labourer,40000,3500,0,1,1,2,110,1,0.5,Retail Store,12,12,5000
239,33,F,General,Sweets shop,none,50400,4100,0,3,1,2,200,1,0.5,Eateries,12,50,8000
240,25,F,S.C,Grocery store,none,36000,2900,0,1,1,2,200,1,0.5,Agro Based Businesses,12,50,8000
